,Member_number,Date,itemDescription,year,month,day,day_of_week,ItemId,Value,Value Discount,ItensAvail.,Age,Lifetime Cross Sell Itens,GMV Lifetime,Orders,Time since Last Order,Vendors Seen Last 4 Weeks
16,1974,2015-03-05,packagedfruit/vegetables,2015,3,5,3,5634,"14,00","1,00",12,20,16,143,20,4,15
17,2421,2015-02-09,chocolate,2015,2,9,0,2937,"8,00","2,00",6,39,13,240,2,8,12
18,1513,2015-03-08,specialtybar,2015,3,8,6,515,"8,00","0,00",8,26,18,59,11,7,16
19,1905,2015-07-07,othervegetables,2015,7,7,1,2738,"15,00","0,00",12,40,4,248,18,24,15
20,2810,2015-08-09,buttermilk,2015,8,9,6,250,"9,00","2,00",8,44,15,23,14,7,6
21,2867,2015-12-11,wholemilk,2015,12,11,4,5497,"4,00","2,00",9,20,5,197,5,83,9
22,3962,2015-09-18,tropicalfruit,2015,9,18,4,1376,"9,00","2,00",15,51,3,254,14,31,16
23,1088,2015-11-30,tropicalfruit,2015,11,30,0,1376,"9,00","2,00",15,41,14,57,20,21,2
24,4976,2015-07-17,bottledwater,2015,7,17,4,1237,"12,00","0,00",7,42,16,218,2,48,14
25,4056,2015-12-06,yogurt,2015,12,6,6,9399,"10,00","1,00",6,31,12,129,23,8,2
26,3611,2015-02-13,sausage,2015,2,13,4,9945,"5,00","0,00",14,27,14,192,23,31,6
27,1420,2015-01-14,othervegetables,2015,1,14,2,2738,"15,00","0,00",12,25,12,95,23,50,11
28,4286,2015-08-03,brownbread,2015,8,3,0,198,"7,00","1,00",7,57,9,128,2,71,14
29,4918,2015-01-27,yogurt,2015,1,27,1,9399,"10,00","1,00",6,23,13,130,2,16,7
30,4783,2015-10-22,hamburgermeat,2015,10,22,3,2853,"5,00","2,00",11,23,6,218,21,59,4
31,3709,2015-10-26,rootvegetables,2015,10,26,0,7481,"10,00","0,00",15,59,16,88,21,39,15
32,4289,2015-08-10,pork,2015,8,10,0,6549,"3,00","2,00",11,58,15,131,8,62,2
33,1559,2015-03-10,beef,2015,3,10,1,3178,"7,00","2,00",9,60,16,30,2,48,11
34,2900,2015-11-04,pastry,2015,11,4,2,1952,"12,00","1,00",3,20,7,42,24,64,4
35,1905,2015-02-21,fruit/vegetablejuice,2015,2,21,5,5361,"9,00","2,00",15,40,4,248,18,24,15
36,3527,2015-09-29,cannedbeer,2015,9,29,1,4344,"3,00","0,00",8,22,3,20,1,30,8
37,1495,2015-09-01,rootvegetables,2015,9,1,1,7481,"10,00","0,00",15,41,13,122,5,33,3
38,3558,2015-03-04,citrusfruit,2015,3,4,2,9978,"12,00","0,00",13,45,13,126,25,89,4
39,3128,2015-04-20,sausage,2015,4,20,0,9945,"5,00","0,00",14,29,4,63,2,74,16
40,1863,2015-04-08,tropicalfruit,2015,4,8,2,1376,"9,00","2,00",15,46,7,71,7,23,14
41,3841,2015-07-19,berries,2015,7,19,6,168,"18,00","0,00",10,25,10,127,23,45,11
42,3903,2015-06-10,cannedbeer,2015,6,10,2,4344,"3,00","0,00",8,56,9,103,18,42,12
43,2658,2015-10-16,buttermilk,2015,10,16,4,250,"9,00","2,00",8,42,8,139,22,0,9
44,4272,2015-06-06,coffee,2015,6,6,5,5541,"8,00","1,00",14,45,8,116,21,16,3
45,1120,2015-09-26,pastry,2015,9,26,5,1952,"12,00","1,00",3,62,9,86,8,61,10
46,2676,2015-08-15,rolls/buns,2015,8,15,5,6555,"17,00","1,00",11,52,10,30,10,74,12
47,1697,2015-05-21,misc.beverages,2015,5,21,3,986,"16,00","0,00",9,57,16,50,14,17,16
48,2507,2015-08-25,rootvegetables,2015,8,25,1,7481,"10,00","0,00",15,30,2,215,14,79,9
49,4620,2015-11-03,sausage,2015,11,3,1,9945,"5,00","0,00",14,32,16,46,18,6,7
50,3365,2015-01-02,cannedbeer,2015,1,2,4,4344,"3,00","0,00",8,47,17,41,21,70,12
51,2978,2015-05-06,ham,2015,5,6,2,1524,"13,00","2,00",3,49,12,111,19,40,15
52,2910,2015-07-28,turkey,2015,7,28,1,2852,"3,00","0,00",10,51,7,169,14,75,12
53,1061,2015-05-09,wholemilk,2015,5,9,5,5497,"4,00","2,00",9,18,10,211,6,16,12
54,3276,2015-03-04,wholemilk,2015,3,4,2,5497,"4,00","2,00",9,24,11,63,15,60,5
55,1326,2015-06-19,packagedfruit/vegetables,2015,6,19,4,5634,"14,00","1,00",12,57,13,171,14,52,1
56,3023,2015-07-28,rolls/buns,2015,7,28,1,6555,"17,00","1,00",11,31,9,115,5,85,1
57,2185,2015-11-10,ham,2015,11,10,1,1524,"13,00","2,00",3,38,18,171,12,28,10
58,3552,2015-06-16,rolls/buns,2015,6,16,1,6555,"17,00","1,00",11,37,16,162,4,88,7
59,1967,2015-01-20,othervegetables,2015,1,20,1,2738,"15,00","0,00",12,58,4,152,14,18,3
60,4708,2015-03-20,sausage,2015,3,20,4,9945,"5,00","0,00",14,51,2,252,4,35,1
61,2874,2015-02-15,sausage,2015,2,15,6,9945,"5,00","0,00",14,32,7,179,4,56,13
62,4177,2015-04-13,frankfurter,2015,4,13,0,9589,"15,00","2,00",13,38,15,252,8,70,4
63,1663,2015-07-02,rolls/buns,2015,7,2,3,6555,"17,00","1,00",11,40,7,19,8,75,16
64,2632,2015-02-03,wholemilk,2015,2,3,1,5497,"4,00","2,00",9,56,7,179,18,33,13
65,1377,2015-03-14,curdcheese,2015,3,14,5,4340,"2,00","2,00",3,37,17,108,24,62,7
66,4162,2015-12-22,red/blushwine,2015,12,22,1,9613,"14,00","0,00",6,24,8,243,16,47,2
67,2270,2015-01-07,sausage,2015,1,7,2,9945,"5,00","0,00",14,35,2,204,6,2,5
68,4829,2015-03-11,tropicalfruit,2015,3,11,2,1376,"9,00","2,00",15,49,17,203,24,63,3
69,3811,2015-04-14,red/blushwine,2015,4,14,1,9613,"14,00","0,00",6,38,17,145,11,49,6
70,4766,2015-09-29,wholemilk,2015,9,29,1,5497,"4,00","2,00",9,27,18,25,16,22,12
71,2436,2015-12-04,frankfurter,2015,12,4,4,9589,"15,00","2,00",13,52,2,205,2,56,6
72,3860,2015-05-05,wholemilk,2015,5,5,1,5497,"4,00","2,00",9,58,17,140,24,10,9
73,4875,2015-12-05,frozenpotatoproducts,2015,12,5,5,8252,"5,00","0,00",12,61,5,117,15,45,11
74,1587,2015-01-07,othervegetables,2015,1,7,2,2738,"15,00","0,00",12,18,13,62,7,12,7
75,4038,2015-08-07,citrusfruit,2015,8,7,4,9978,"12,00","0,00",13,60,8,144,16,21,12
76,4750,2015-09-21,flour,2015,9,21,0,2309,"17,00","2,00",4,42,7,222,17,28,4
77,1199,2015-10-12,sugar,2015,10,12,0,2150,"12,00","0,00",12,31,5,181,3,15,16
78,1603,2015-09-30,frozenmeals,2015,9,30,2,833,"9,00","1,00",12,23,14,156,19,69,4
79,3111,2015-01-31,chocolate,2015,1,31,5,2937,"8,00","2,00",6,49,1,117,11,74,5
80,3894,2015-12-13,rootvegetables,2015,12,13,6,7481,"10,00","0,00",15,18,3,134,1,40,2
81,1456,2015-09-18,rootvegetables,2015,9,18,4,7481,"10,00","0,00",15,21,11,249,14,21,10
82,2022,2015-04-03,herbs,2015,4,3,4,8792,"8,00","0,00",4,25,16,116,12,78,10
83,2505,2015-11-30,bottledwater,2015,11,30,0,1237,"12,00","0,00",7,18,10,253,15,90,12
84,4851,2015-12-20,sausage,2015,12,20,6,9945,"5,00","0,00",14,44,13,42,9,84,9
85,4293,2015-04-08,coffee,2015,4,8,2,5541,"8,00","1,00",14,56,8,177,15,35,14
86,2775,2015-06-11,pork,2015,6,11,3,6549,"3,00","2,00",11,60,1,148,3,55,6
87,3693,2015-02-18,berries,2015,2,18,2,168,"18,00","0,00",10,57,5,81,21,60,5
88,1202,2015-07-22,soda,2015,7,22,2,9166,"8,00","1,00",13,29,2,62,19,58,14
89,3699,2015-08-23,berries,2015,8,23,6,168,"18,00","0,00",10,36,8,145,25,57,3
90,4152,2015-04-15,fruit/vegetablejuice,2015,4,15,2,5361,"9,00","2,00",15,22,9,93,20,9,16
91,4155,2015-01-26,citrusfruit,2015,1,26,0,9978,"12,00","0,00",13,43,6,80,18,19,12
92,4010,2015-12-29,pork,2015,12,29,1,6549,"3,00","2,00",11,20,8,237,25,77,16
93,4389,2015-10-20,detergent,2015,10,20,1,4155,"8,00","0,00",9,31,12,86,4,35,15
94,3746,2015-08-17,grapes,2015,8,17,0,7532,"16,00","2,00",11,21,4,92,25,6,11
95,2560,2015-05-17,sausage,2015,5,17,6,9945,"5,00","0,00",14,61,9,217,23,88,11
96,1503,2015-07-25,chicken,2015,7,25,5,5090,"14,00","1,00",8,56,5,194,14,7,3
97,2555,2015-12-23,wholemilk,2015,12,23,2,5497,"4,00","2,00",9,49,5,252,18,50,4
98,3645,2015-12-12,citrusfruit,2015,12,12,5,9978,"12,00","0,00",13,52,2,202,3,3,3
99,3886,2015-11-09,soda,2015,11,9,0,9166,"8,00","1,00",13,35,14,163,17,14,13
100,2932,2015-03-20,sausage,2015,3,20,4,9945,"5,00","0,00",14,55,1,117,2,79,9
101,1711,2015-06-18,frankfurter,2015,6,18,3,9589,"15,00","2,00",13,51,16,213,10,67,5
102,4291,2015-08-12,sausage,2015,8,12,2,9945,"5,00","0,00",14,60,18,223,23,77,8
103,1143,2015-04-25,soda,2015,4,25,5,9166,"8,00","1,00",13,50,5,55,13,62,16
104,4564,2015-08-07,rolls/buns,2015,8,7,4,6555,"17,00","1,00",11,40,17,38,15,85,11
105,3337,2015-05-14,beef,2015,5,14,3,3178,"7,00","2,00",9,55,13,223,7,20,12
106,4931,2015-04-05,wholemilk,2015,4,5,6,5497,"4,00","2,00",9,25,1,152,24,58,10
107,2623,2015-10-10,processedcheese,2015,10,10,5,2959,"14,00","0,00",12,53,17,248,16,49,15
108,4581,2015-03-04,tropicalfruit,2015,3,4,2,1376,"9,00","2,00",15,25,1,217,1,89,16
109,2635,2015-11-06,frankfurter,2015,11,6,4,9589,"15,00","2,00",13,48,1,112,14,65,7
110,1095,2015-10-30,packagedfruit/vegetables,2015,10,30,4,5634,"14,00","1,00",12,36,3,99,11,72,4
111,2990,2015-05-23,wholemilk,2015,5,23,5,5497,"4,00","2,00",9,46,6,248,4,73,9
112,2426,2015-05-06,berries,2015,5,6,2,168,"18,00","0,00",10,55,6,24,2,84,10
113,4555,2015-07-11,citrusfruit,2015,7,11,5,9978,"12,00","0,00",13,56,2,193,23,92,4
114,3635,2015-04-09,tropicalfruit,2015,4,9,3,1376,"9,00","2,00",15,45,14,52,22,45,6
115,3058,2015-05-18,hamburgermeat,2015,5,18,0,2853,"5,00","2,00",11,49,18,48,15,66,2
116,4391,2015-03-26,hamburgermeat,2015,3,26,3,2853,"5,00","2,00",11,41,11,104,9,19,2
117,1306,2015-06-23,wholemilk,2015,6,23,1,5497,"4,00","2,00",9,38,9,243,21,8,5
118,1024,2015-10-08,fish,2015,10,8,3,4366,"7,00","0,00",10,27,3,124,12,49,15
119,1295,2015-07-23,frankfurter,2015,7,23,3,9589,"15,00","2,00",13,46,6,211,17,29,11
120,1661,2015-01-06,packagedfruit/vegetables,2015,1,6,1,5634,"14,00","1,00",12,52,14,240,8,15,15
121,4591,2015-05-15,pastry,2015,5,15,4,1952,"12,00","1,00",3,62,14,80,21,64,10
122,3169,2015-06-14,othervegetables,2015,6,14,6,2738,"15,00","0,00",12,44,12,78,25,37,9
123,3915,2015-05-21,misc.beverages,2015,5,21,3,986,"16,00","0,00",9,56,7,158,3,67,1
124,1127,2015-01-14,frankfurter,2015,1,14,2,9589,"15,00","2,00",13,48,13,114,5,10,7
125,4828,2015-08-08,sparklingwine,2015,8,8,5,2604,"15,00","2,00",9,27,2,21,6,77,2
126,3683,2015-10-06,specialtybar,2015,10,6,1,515,"8,00","0,00",8,47,17,28,15,59,10
127,1971,2015-09-18,sausage,2015,9,18,4,9945,"5,00","0,00",14,24,18,112,4,73,14
128,3014,2015-11-11,curdcheese,2015,11,11,2,4340,"2,00","2,00",3,39,15,165,16,82,4
129,3779,2015-09-15,frankfurter,2015,9,15,1,9589,"15,00","2,00",13,45,17,96,17,49,13
130,2489,2015-04-05,wholemilk,2015,4,5,6,5497,"4,00","2,00",9,37,2,146,5,90,6
131,3564,2015-06-27,newspapers,2015,6,27,5,4998,"18,00","0,00",12,39,8,117,15,51,13
132,4092,2015-09-30,berries,2015,9,30,2,168,"18,00","0,00",10,29,12,23,9,25,15
133,3221,2015-01-13,curd,2015,1,13,1,1528,"17,00","0,00",5,59,8,137,23,21,4
134,1279,2015-06-09,tropicalfruit,2015,6,9,1,1376,"9,00","2,00",15,52,7,252,15,3,11
135,2581,2015-08-22,soda,2015,8,22,5,9166,"8,00","1,00",13,42,16,232,14,60,6
136,2295,2015-02-25,rolls/buns,2015,2,25,2,6555,"17,00","1,00",11,55,8,30,21,24,7
137,4760,2015-02-22,cannedbeer,2015,2,22,6,4344,"3,00","0,00",8,44,3,136,19,84,14
138,3649,2015-01-16,cannedbeer,2015,1,16,4,4344,"3,00","0,00",8,26,6,186,7,86,2
139,1075,2015-11-19,frankfurter,2015,11,19,3,9589,"15,00","2,00",13,32,10,50,15,26,3
140,3987,2015-08-19,othervegetables,2015,8,19,2,2738,"15,00","0,00",12,30,18,17,20,90,5
141,4106,2015-08-25,wholemilk,2015,8,25,1,5497,"4,00","2,00",9,43,4,21,17,65,13
142,4338,2015-06-24,wholemilk,2015,6,24,2,5497,"4,00","2,00",9,40,5,240,22,33,4
143,4166,2015-06-11,citrusfruit,2015,6,11,3,9978,"12,00","0,00",13,48,12,183,24,25,10
144,1211,2015-10-03,frankfurter,2015,10,3,5,9589,"15,00","2,00",13,33,8,159,2,11,2
145,3954,2015-01-21,frankfurter,2015,1,21,2,9589,"15,00","2,00",13,52,4,132,10,51,14
146,3928,2015-07-18,buttermilk,2015,7,18,5,250,"9,00","2,00",8,53,8,211,19,80,2
147,3827,2015-09-30,hamburgermeat,2015,9,30,2,2853,"5,00","2,00",11,51,11,90,22,8,13
148,4699,2015-08-02,pasta,2015,8,2,6,2752,"12,00","1,00",13,47,14,218,18,1,4
149,4747,2015-08-06,othervegetables,2015,8,6,3,2738,"15,00","0,00",12,50,17,126,22,12,12
150,3028,2015-09-06,sausage,2015,9,6,6,9945,"5,00","0,00",14,31,16,223,11,24,10
151,2851,2015-03-16,rolls/buns,2015,3,16,0,6555,"17,00","1,00",11,28,18,61,14,65,12
152,4417,2015-02-25,grapes,2015,2,25,2,7532,"16,00","2,00",11,44,14,245,19,11,8
153,3822,2015-07-03,rootvegetables,2015,7,3,4,7481,"10,00","0,00",15,57,16,150,15,91,2
154,2288,2015-05-31,coffee,2015,5,31,6,5541,"8,00","1,00",14,62,13,166,10,63,14
155,2184,2015-06-30,popcorn,2015,6,30,1,113,"9,00","0,00",12,34,12,55,9,88,2
156,4554,2015-08-27,wholemilk,2015,8,27,3,5497,"4,00","2,00",9,40,17,153,19,23,10
157,3361,2015-05-03,tropicalfruit,2015,5,3,6,1376,"9,00","2,00",15,62,17,19,13,29,13
158,2999,2015-04-17,beef,2015,4,17,4,3178,"7,00","2,00",9,40,13,105,2,60,7
159,2614,2015-06-25,wholemilk,2015,6,25,3,5497,"4,00","2,00",9,62,8,107,14,21,16
160,4064,2015-05-06,frankfurter,2015,5,6,2,9589,"15,00","2,00",13,61,11,95,5,33,1
161,3567,2015-04-10,tropicalfruit,2015,4,10,4,1376,"9,00","2,00",15,57,13,19,14,13,5
162,2587,2015-07-05,cannedbeer,2015,7,5,6,4344,"3,00","0,00",8,20,11,73,16,73,12
163,3783,2015-06-17,finishedproducts,2015,6,17,2,615,"10,00","2,00",9,57,17,190,9,68,14
164,1923,2015-02-14,beverages,2015,2,14,5,9692,"8,00","1,00",7,56,1,87,20,20,11
165,4835,2015-02-19,hamburgermeat,2015,2,19,3,2853,"5,00","2,00",11,56,14,170,7,18,12
166,1514,2015-08-24,wholemilk,2015,8,24,0,5497,"4,00","2,00",9,40,6,234,2,57,9
167,3154,2015-06-22,finishedproducts,2015,6,22,0,615,"10,00","2,00",9,25,9,116,13,34,4
168,1313,2015-12-25,othervegetables,2015,12,25,4,2738,"15,00","0,00",12,46,6,59,22,82,5
169,2794,2015-07-18,ham,2015,7,18,5,1524,"13,00","2,00",3,18,9,25,6,62,8
170,2359,2015-09-04,othervegetables,2015,9,4,4,2738,"15,00","0,00",12,51,12,105,10,83,15
171,2238,2015-09-03,curd,2015,9,3,3,1528,"17,00","0,00",5,25,6,39,21,90,11
172,3795,2015-01-17,bottledbeer,2015,1,17,5,4817,"5,00","0,00",6,61,18,184,14,2,8
173,3724,2015-11-26,curd,2015,11,26,3,1528,"17,00","0,00",5,29,3,213,17,71,1
174,1152,2015-05-03,wholemilk,2015,5,3,6,5497,"4,00","2,00",9,18,3,217,6,47,7
175,4559,2015-03-16,wholemilk,2015,3,16,0,5497,"4,00","2,00",9,39,13,105,4,85,6
176,3922,2015-02-27,dessert,2015,2,27,4,4713,"15,00","1,00",14,23,1,158,7,43,14
177,1709,2015-04-22,sausage,2015,4,22,2,9945,"5,00","0,00",14,25,6,186,23,22,16
178,2219,2015-04-17,othervegetables,2015,4,17,4,2738,"15,00","0,00",12,40,13,24,24,11,11
179,2206,2015-10-17,ham,2015,10,17,5,1524,"13,00","2,00",3,40,2,226,16,48,16
180,1752,2015-06-04,othervegetables,2015,6,4,3,2738,"15,00","0,00",12,41,13,25,8,47,15
181,3942,2015-10-11,othervegetables,2015,10,11,6,2738,"15,00","0,00",12,49,15,255,24,78,12
182,3296,2015-08-17,soda,2015,8,17,0,9166,"8,00","1,00",13,36,1,174,11,33,1
183,2257,2015-05-02,herbs,2015,5,2,5,8792,"8,00","0,00",4,47,10,225,9,14,1
184,4313,2015-07-28,frankfurter,2015,7,28,1,9589,"15,00","2,00",13,39,11,91,2,42,9
185,2001,2015-08-21,rolls/buns,2015,8,21,4,6555,"17,00","1,00",11,48,15,250,16,81,14
186,2449,2015-08-07,curd,2015,8,7,4,1528,"17,00","0,00",5,46,11,123,1,42,5
187,4914,2015-12-04,frankfurter,2015,12,4,4,9589,"15,00","2,00",13,45,1,239,16,75,5
188,2764,2015-07-24,othervegetables,2015,7,24,4,2738,"15,00","0,00",12,29,7,96,17,2,11
189,4187,2015-09-05,dogfood,2015,9,5,5,7532,"5,00","2,00",7,54,10,43,22,12,6
190,1392,2015-04-20,specialtybar,2015,4,20,0,515,"8,00","0,00",8,27,14,244,11,43,15
191,3427,2015-04-28,curd,2015,4,28,1,1528,"17,00","0,00",5,42,1,102,25,34,2
192,1411,2015-02-20,frankfurter,2015,2,20,4,9589,"15,00","2,00",13,30,9,226,1,65,8
193,3390,2015-11-14,soda,2015,11,14,5,9166,"8,00","1,00",13,19,15,201,5,16,11
194,4787,2015-01-08,beef,2015,1,8,3,3178,"7,00","2,00",9,55,17,122,5,2,1
195,3310,2015-01-17,cannedbeer,2015,1,17,5,4344,"3,00","0,00",8,62,11,248,19,46,2
196,1782,2015-10-10,pork,2015,10,10,5,6549,"3,00","2,00",11,56,15,200,18,55,16
197,3375,2015-04-26,frankfurter,2015,4,26,6,9589,"15,00","2,00",13,46,13,56,25,22,13
198,2760,2015-07-01,sausage,2015,7,1,2,9945,"5,00","0,00",14,32,18,216,10,16,14
199,4249,2015-09-13,cannedbeer,2015,9,13,6,4344,"3,00","0,00",8,54,4,54,19,19,12
200,2904,2015-06-06,specialtychocolate,2015,6,6,5,2822,"17,00","1,00",6,59,18,88,2,86,10
201,4090,2015-02-26,curd,2015,2,26,3,1528,"17,00","0,00",5,49,7,175,12,80,12
202,3060,2015-05-07,cannedbeer,2015,5,7,3,4344,"3,00","0,00",8,50,2,194,18,57,14
203,3768,2015-07-10,wholemilk,2015,7,10,4,5497,"4,00","2,00",9,48,9,165,22,70,16
204,1232,2015-01-21,rolls/buns,2015,1,21,2,6555,"17,00","1,00",11,28,10,135,24,31,13
205,1360,2015-10-23,pork,2015,10,23,4,6549,"3,00","2,00",11,60,18,161,4,54,12
206,1107,2015-01-10,citrusfruit,2015,1,10,5,9978,"12,00","0,00",13,23,1,248,20,87,14
207,2865,2015-04-11,potplants,2015,4,11,5,2675,"11,00","1,00",14,26,8,151,6,55,3
208,2958,2015-06-14,rolls/buns,2015,6,14,6,6555,"17,00","1,00",11,18,6,121,1,84,7
209,2448,2015-12-07,butter,2015,12,7,0,1941,"18,00","1,00",13,49,6,169,22,12,12
210,1222,2015-09-24,condensedmilk,2015,9,24,3,3690,"5,00","2,00",13,49,10,206,18,35,3
211,2943,2015-06-20,sausage,2015,6,20,5,9945,"5,00","0,00",14,27,2,254,3,28,15
212,2270,2015-11-08,wholemilk,2015,11,8,6,5497,"4,00","2,00",9,35,2,204,6,2,5
213,3812,2015-07-21,sausage,2015,7,21,1,9945,"5,00","0,00",14,30,16,120,22,14,8
214,1482,2015-11-22,beverages,2015,11,22,6,9692,"8,00","1,00",7,52,5,253,4,37,12
215,4720,2015-02-22,beverages,2015,2,22,6,9692,"8,00","1,00",7,62,8,124,14,14,8
216,1344,2015-04-09,bottledwater,2015,4,9,3,1237,"12,00","0,00",7,47,8,167,25,22,8
217,2397,2015-04-10,newspapers,2015,4,10,4,4998,"18,00","0,00",12,26,1,212,23,32,15
218,4182,2015-12-05,cleaner,2015,12,5,5,7328,"11,00","0,00",4,54,14,16,23,56,9
219,4487,2015-10-07,sausage,2015,10,7,2,9945,"5,00","0,00",14,50,7,34,21,71,12
220,3467,2015-12-24,newspapers,2015,12,24,3,4998,"18,00","0,00",12,45,7,222,3,10,12
221,2443,2015-11-15,sausage,2015,11,15,6,9945,"5,00","0,00",14,22,16,169,20,23,12
222,2749,2015-01-27,misc.beverages,2015,1,27,1,986,"16,00","0,00",9,34,16,109,15,19,16
223,4389,2015-04-13,whitewine,2015,4,13,0,1850,"3,00","0,00",4,31,12,86,4,35,15
224,1674,2015-04-12,sausage,2015,4,12,6,9945,"5,00","0,00",14,54,3,45,11,48,10
225,4262,2015-10-16,meat,2015,10,16,4,7898,"11,00","0,00",10,57,17,123,18,78,3
226,2082,2015-07-04,frankfurter,2015,7,4,5,9589,"15,00","2,00",13,51,1,155,11,42,3
227,4494,2015-06-01,icecream,2015,6,1,0,3061,"2,00","1,00",3,35,2,125,22,91,13
228,2460,2015-09-28,cannedbeer,2015,9,28,0,4344,"3,00","0,00",8,46,6,44,12,4,4
229,4509,2015-11-29,tropicalfruit,2015,11,29,6,1376,"9,00","2,00",15,53,3,26,11,38,14
230,2267,2015-03-07,meat,2015,3,7,5,7898,"11,00","0,00",10,62,10,103,14,5,8
231,4891,2015-05-09,wholemilk,2015,5,9,5,5497,"4,00","2,00",9,46,6,79,10,41,16
232,3962,2015-09-20,sausage,2015,9,20,6,9945,"5,00","0,00",14,51,3,254,14,31,16
233,4964,2015-07-18,frankfurter,2015,7,18,5,9589,"15,00","2,00",13,25,7,33,25,79,7
234,2914,2015-11-30,meat,2015,11,30,0,7898,"11,00","0,00",10,19,9,254,22,67,2
235,2808,2015-05-05,rootvegetables,2015,5,5,1,7481,"10,00","0,00",15,19,5,19,4,36,14
236,1085,2015-08-15,rootvegetables,2015,8,15,5,7481,"10,00","0,00",15,31,4,203,4,65,13
237,3808,2015-08-18,wholemilk,2015,8,18,1,5497,"4,00","2,00",9,27,1,140,20,85,5
238,4149,2015-07-01,citrusfruit,2015,7,1,2,9978,"12,00","0,00",13,39,9,157,3,20,1
239,2331,2015-05-06,citrusfruit,2015,5,6,2,9978,"12,00","0,00",13,50,7,27,3,40,14
240,4475,2015-03-04,othervegetables,2015,3,4,2,2738,"15,00","0,00",12,55,18,228,18,21,9
241,2761,2015-04-25,citrusfruit,2015,4,25,5,9978,"12,00","0,00",13,48,4,118,25,48,11
242,2620,2015-12-14,sausage,2015,12,14,0,9945,"5,00","0,00",14,44,13,224,12,34,10
243,3206,2015-10-13,frankfurter,2015,10,13,1,9589,"15,00","2,00",13,49,11,146,7,23,15
244,1226,2015-04-13,hardcheese,2015,4,13,0,2800,"17,00","2,00",7,40,17,209,3,1,11
245,1395,2015-07-03,creamcheese,2015,7,3,4,1084,"15,00","0,00",11,61,14,208,18,17,3
246,2465,2015-07-06,turkey,2015,7,6,0,2852,"3,00","0,00",10,43,6,190,15,64,8
247,3572,2015-09-07,pork,2015,9,7,0,6549,"3,00","2,00",11,24,14,160,7,30,5
248,4387,2015-08-05,wholemilk,2015,8,5,2,5497,"4,00","2,00",9,51,10,136,3,30,10
249,1555,2015-03-27,rolls/buns,2015,3,27,4,6555,"17,00","1,00",11,38,4,184,18,0,5
250,1181,2015-11-16,sausage,2015,11,16,0,9945,"5,00","0,00",14,55,7,156,1,92,10
251,2814,2015-11-05,icecream,2015,11,5,3,3061,"2,00","1,00",3,48,15,91,6,27,6
252,2794,2015-09-16,liquor,2015,9,16,2,2249,"5,00","0,00",15,18,9,25,6,62,8
253,2912,2015-01-28,pipfruit,2015,1,28,2,4936,"17,00","1,00",11,61,9,128,24,49,7
254,4667,2015-12-01,rootvegetables,2015,12,1,1,7481,"10,00","0,00",15,36,18,239,2,36,7
255,2235,2015-10-25,soda,2015,10,25,6,9166,"8,00","1,00",13,42,2,225,6,0,6
256,2353,2015-02-05,soda,2015,2,5,3,9166,"8,00","1,00",13,50,15,225,25,21,12
257,3449,2015-08-03,sausage,2015,8,3,0,9945,"5,00","0,00",14,19,10,230,17,82,4
258,1058,2015-10-11,rootvegetables,2015,10,11,6,7481,"10,00","0,00",15,55,6,84,13,28,1
259,1027,2015-05-17,pork,2015,5,17,6,6549,"3,00","2,00",11,29,3,43,9,38,5
260,3302,2015-05-22,pork,2015,5,22,4,6549,"3,00","2,00",11,53,2,191,1,32,5
261,2229,2015-05-30,chocolate,2015,5,30,5,2937,"8,00","2,00",6,39,10,65,12,4,1
